Dataset,LineId,Time,Level,Content,EventId,EventTemplate
Apache,1740,Mon Dec 05 13:53:00 2005,notice,jk2_init() Found child 6039 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,679,Sun Dec 04 16:56:27 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,781,Sun Dec 04 17:39:01 2005,notice,jk2_init() Found child 1530 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1810,Mon Dec 05 15:55:32 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1028,Sun Dec 04 20:44:29 2005,notice,jk2_init() Found child 2059 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,295,Sun Dec 04 06:40:54 2005,notice,jk2_init() Found child 32546 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1158,Mon Dec 05 04:10:47 2005,notice,jk2_init() Found child 3690 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,277,Sun Dec 04 06:22:55 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,1778,Mon Dec 05 15:31:10 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1183,Mon Dec 05 05:06:42 2005,notice,jk2_init() Found child 4594 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,188,Sun Dec 04 06:12:37 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,382,Sun Dec 04 06:51:13 2005,notice,jk2_init() Found child 32621 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1007,Sun Dec 04 20:34:25 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1238,Mon Dec 05 07:25:59 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,527,Sun Dec 04 07:11:04 2005,notice,jk2_init() Found child 309 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,897,Sun Dec 04 20:01:30 2005,notice,jk2_init() Found child 1868 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1893,Mon Dec 05 17:31:41 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,307,Sun Dec 04 06:41:46 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,1232,Mon Dec 05 07:21:09 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,989,Sun Dec 04 20:32:50 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1853,Mon Dec 05 16:21:29 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,298,Sun Dec 04 06:41:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,243,Sun Dec 04 06:19:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1573,Mon Dec 05 12:50:43 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1133,Mon Dec 05 04:01:23 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,1677,Mon Dec 05 13:39:41 2005,notice,jk2_init() Found child 5972 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,912,Sun Dec 04 20:05:59 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,1315,Mon Dec 05 07:50:54 2005,notice,jk2_init() Found child 5016 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,24,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1351,Mon Dec 05 07:57:02 2005,notice,jk2_init() Found child 5052 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1716,Mon Dec 05 13:46:50 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,547,Sun Dec 04 07:13:36 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,821,Sun Dec 04 19:32:34 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,209,Sun Dec 04 06:16:39 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,886,Sun Dec 04 19:56:53 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,1419,Mon Dec 05 10:26:36 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,801,Sun Dec 04 17:43:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1669,Mon Dec 05 13:38:53 2005,notice,jk2_init() Found child 5969 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1382,Mon Dec 05 10:17:45 2005,notice,jk2_init() Found child 5350 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1983,Mon Dec 05 19:00:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,83,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1632,Mon Dec 05 13:28:17 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
Apache,793,Sun Dec 04 17:43:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1072,Mon Dec 05 03:36:57 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,486,Sun Dec 04 07:01:57 2005,notice,jk2_init() Found child 32712 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1554,Mon Dec 05 12:35:57 2005,notice,jk2_init() Found child 5786 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,927,Sun Dec 04 20:11:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1564,Mon Dec 05 12:36:39 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
Apache,53,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1388,Mon Dec 05 10:17:51 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1064,Mon Dec 05 03:36:51 2005,notice,jk2_init() Found child 2813 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1994,Mon Dec 05 19:14:09 2005,error,[client 61.220.139.68] Directory index forbidden by rule: /var/www/html/,E4,[client <*>] Directory index forbidden by rule: <*>
Apache,281,Sun Dec 04 06:22:55 2005,error,mod_jk child workerEnv in error state 8,E3,mod_jk child workerEnv in error state <*>
Apache,606,Sun Dec 04 16:32:58 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,837,Sun Dec 04 19:36:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1271,Mon Dec 05 07:41:50 2005,notice,jk2_init() Found child 4976 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,364,Sun Dec 04 06:47:38 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,247,Sun Dec 04 06:19:19 2005,notice,jk2_init() Found child 32451 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,488,Sun Dec 04 07:02:01 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1670,Mon Dec 05 13:38:52 2005,notice,jk2_init() Found child 5966 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1744,Mon Dec 05 13:53:34 2005,notice,jk2_init() Found child 6044 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1724,Mon Dec 05 13:47:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,721,Sun Dec 04 17:12:56 2005,notice,jk2_init() Found child 1397 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1779,Mon Dec 05 15:31:10 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,352,Sun Dec 04 06:46:32 2005,notice,jk2_init() Found child 32584 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,826,Sun Dec 04 19:35:58 2005,notice,jk2_init() Found child 1800 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,806,Sun Dec 04 18:24:22 2005,error,[client 125.30.38.52] Directory index forbidden by rule: /var/www/html/,E4,[client <*>] Directory index forbidden by rule: <*>
Apache,433,Sun Dec 04 06:56:10 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1244,Mon Dec 05 07:32:03 2005,notice,jk2_init() Found child 4935 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1263,Mon Dec 05 07:37:58 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1571,Mon Dec 05 12:50:42 2005,notice,jk2_init() Found child 5810 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1252,Mon Dec 05 07:32:06 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,1749,Mon Dec 05 13:53:35 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,1182,Mon Dec 05 05:06:42 2005,notice,jk2_init() Found child 4595 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,660,Sun Dec 04 16:52:49 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,954,Sun Dec 04 20:22:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,580,Sun Dec 04 07:45:45 2005,error,[client 63.13.186.196] Directory index forbidden by rule: /var/www/html/,E4,[client <*>] Directory index forbidden by rule: <*>
Apache,1542,Mon Dec 05 11:06:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,789,Sun Dec 04 17:43:08 2005,error,jk2_init() Can't find child 1567 in scoreboard,E5,jk2_init() Can't find child <*> in scoreboard
Apache,1929,Mon Dec 05 18:10:56 2005,notice,jk2_init() Found child 6638 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1176,Mon Dec 05 04:14:00 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,268,Sun Dec 04 06:22:48 2005,notice,jk2_init() Found child 32477 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,890,Sun Dec 04 19:56:53 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,998,Sun Dec 04 20:34:13 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,1703,Mon Dec 05 13:44:38 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
Apache,1839,Mon Dec 05 16:16:34 2005,notice,jk2_init() Found child 6368 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1659,Mon Dec 05 13:36:27 2005,notice,jk2_init() Found child 5954 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,747,Sun Dec 04 17:26:39 2005,notice,jk2_init() Found child 1462 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,624,Sun Dec 04 16:45:52 2005,notice,jk2_init() Found child 1283 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,505,Sun Dec 04 07:05:44 2005,notice,jk2_init() Found child 32740 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1202,Mon Dec 05 05:15:29 2005,notice,jk2_init() Found child 4630 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,774,Sun Dec 04 17:36:14 2005,notice,jk2_init() Found child 1512 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,324,Sun Dec 04 06:43:34 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
Apache,102,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8744 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,1727,Mon Dec 05 13:47:11 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
Apache,1759,Mon Dec 05 13:59:43 2005,notice,jk2_init() Found child 6069 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
Apache,631,Sun Dec 04 16:47:59 2005,notice,jk2_init() Found child 1300 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
